=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+3.9e-05% (Z:+0.2487) | a: 50+3.5e-04% (Z:+2.2083) | aHeads: 50+2.2e-04% | aTails: 50+4.8e-04% | aSame: 50+1.0e-04% | aDiff: 50+6.0e-04% | [RATE] H/T: 50+3.9e-04%/ 50+3.1e-04% S/D: 50+1.0e-04%/ 50+6.0e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 00:00:00 | Z(3.00) in 01:46:13

segments              : 135
Edge Excursion Score  : +0.564258   // median(best TrueZ per segment)
Edge Settlement Score : -0.758059   // mean(end TrueZ per segment)
Edge Persistence Index: -0.370328   // settlement * fraction positive

avgBestTrueZ          : +0.591953
medianBestTrueZ       : +0.564258
avgEndTrueZ           : -0.758059
medianEndTrueZ        : -0.765069
avgMeanTrueZ          : -0.779104
avgPctAbove50         :  48.8521%

bestTrueZ >= 1.96     :   8.1481%
bestTrueZ >= 3.00     :   2.2222%
endTrueZ  >= 0.00     :  22.9630%
endTrueZ  >= 1.96     :   1.4815%
meanTrueZ >= 0.00     :  13.3333%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
 74 | 7,400,000,000,000..7… | +0.277793 |  50+1.08321e-04% | +0.267257 | -2.111278 |  22.400%
 75 | 7,500,000,000,000..7… | +1.468170 |  50+2.88383e-04% | +0.475335 | +0.641793 | 100.000%
 76 | 7,600,000,000,000..7… | +0.564271 |  50+1.25403e-04% | -0.175272 | -0.124284 |  65.400%
 77 | 7,700,000,000,000..7… | +0.584421 |  50+1.76223e-04% | -0.281386 | -0.390213 |  73.600%
 78 | 7,800,000,000,000..7… | +0.488844 |  50+1.88759e-04% | -0.660505 | -0.210131 |  90.000%
 79 | 7,900,000,000,000..7… | -0.462173 |  50+5.87110e-05% | -0.847914 | -1.770848 |  55.400%
 80 | 8,000,000,000,000..8… | +0.887500 |  50+1.40350e-04% | +0.693418 | -0.303321 |  59.800%
 81 | 8,100,000,000,000..8… | +3.120359 |  50+4.97940e-04% | +1.743218 | +1.905030 | 100.000%
 82 | 8,200,000,000,000..8… | +1.829479 |  50+3.00468e-04% | -1.431158 | -0.490908 |  39.000%
 83 | 8,300,000,000,000..8… | +0.337263 |  50+2.90230e-04% | -0.106019 | -1.001308 |  72.800%
 84 | 8,400,000,000,000..8… | +0.866616 |  50+1.70363e-04% | -0.316215 | -0.338391 |  85.000%
 85 | 8,500,000,000,000..8… | +0.785940 |  50+1.46036e-04% | -1.289096 | +0.040770 |  85.800%
 86 | 8,600,000,000,000..8… | +0.308550 |  50+8.31220e-05% | -1.170220 | -0.736845 |  48.000%
 87 | 8,700,000,000,000..8… | -0.102420 |  50-1.53570e-05% | -0.198401 | -1.008778 |   0.000%
 88 | 8,800,000,000,000..8… | +0.732371 |  50+1.16720e-04% | +0.064049 | -0.027255 |  79.000%
 89 | 8,900,000,000,000..8… | +0.148823 |  50+2.77370e-05% | -2.262376 | -1.786908 |   5.400%
 90 | 9,000,000,000,000..9… | +0.334291 |  50+7.29110e-05% | -0.974405 | -0.951344 |  23.000%
 91 | 9,100,000,000,000..9… | +0.516077 |  50+9.00230e-05% | -1.790633 | -0.477757 |  40.800%
 92 | 9,200,000,000,000..9… | +0.067856 |  50+7.28290e-05% | -0.182976 | -1.363331 |   7.400%
 93 | 9,300,000,000,000..9… | +0.444477 |  50+1.13051e-04% | -0.449682 | -0.393012 |  89.400%
 94 | 9,400,000,000,000..9… | +1.207668 |  50+2.26308e-04% | +1.124304 | -0.471503 |  56.200%
 95 | 9,500,000,000,000..9… | +1.594269 |  50+2.71854e-04% | -2.050440 | -0.366774 |  50.200%
 96 | 9,600,000,000,000..9… | +1.125815 |  50+2.77091e-04% | +0.643928 | -0.736737 |  50.800%
 97 | 9,700,000,000,000..9… | +1.510165 |  50+2.52591e-04% | +0.054897 | +0.343937 | 100.000%
 98 | 9,800,000,000,000..9… | +0.928021 |  50+1.52329e-04% | -2.361589 | -0.217694 |  78.000%
 99 | 9,900,000,000,000..9… | +1.287610 |  50+3.47122e-04% | +1.197377 | -1.031133 |  82.200%
100 | 10,000,000,000,000..… | +1.482248 |  50+3.48450e-04% | -3.861736 | -2.015487 |  38.600%
101 | 10,100,000,000,000..… | -0.228437 |  50-3.12170e-05% | -1.492797 | -1.862038 |   0.000%
102 | 10,200,000,000,000..… | -0.015672 |  50+6.52200e-06% | -2.682579 | -1.388894 |   0.200%
103 | 10,300,000,000,000..… | -1.360665 |  50-1.01490e-04% | -1.470320 | -2.259412 |   0.000%
104 | 10,400,000,000,000..… | +1.151246 |  50+2.92317e-04% | +0.873959 | -0.080380 |  73.600%
105 | 10,500,000,000,000..… | +2.418409 |  50+3.84504e-04% | +1.820125 | +1.252703 | 100.000%
106 | 10,600,000,000,000..… | +1.935485 |  50+3.14682e-04% | +0.551337 | +0.861519 | 100.000%
107 | 10,700,000,000,000..… | +0.991621 |  50+2.71191e-04% | -2.193887 | -0.801814 |  60.600%
108 | 10,800,000,000,000..… | +0.254437 |  50+6.11000e-05% | -0.947380 | -0.774767 |  54.600%
109 | 10,900,000,000,000..… | -0.301795 |  50+5.96980e-05% | -2.031340 | -1.845391 |   7.400%
110 | 11,000,000,000,000..… | -0.919660 |  50-9.71850e-05% | -1.113900 | -1.731993 |   0.000%
111 | 11,100,000,000,000..… | -0.619591 |  50-8.24730e-05% | -2.427921 | -1.618346 |   0.000%
112 | 11,200,000,000,000..… | -0.567641 |  50-3.01200e-05% | -2.079881 | -1.896200 |   0.000%
113 | 11,300,000,000,000..… | -0.267535 |  50-3.67140e-05% | -0.267535 | -1.901606 |   1.800%
114 | 11,400,000,000,000..… | +1.531055 |  50+2.44325e-04% | +0.539061 | +0.567125 |  98.600%
115 | 11,500,000,000,000..… | +1.237444 |  50+2.07372e-04% | -2.200174 | -0.034240 |  56.400%
116 | 11,600,000,000,000..… | +0.164527 |  50+2.64190e-05% | -0.037555 | -0.719745 |  47.000%
117 | 11,700,000,000,000..… | -0.093312 |  50-8.51100e-06% | -1.423107 | -1.919863 |   2.000%
118 | 11,800,000,000,000..… | +0.564258 |  50+2.13563e-04% | -1.506882 | -0.370278 |  93.600%
119 | 11,900,000,000,000..… | +0.086608 |  50+8.18280e-05% | -0.075370 | -2.126069 |  11.400%
120 | 12,000,000,000,000..… | +0.852316 |  50+1.53002e-04% | -2.964218 | -0.959652 |  34.600%
121 | 12,100,000,000,000..… | -0.647540 |  50-2.73950e-05% | -0.855428 | -1.829372 |   0.000%
122 | 12,200,000,000,000..… | -0.481944 |  50-2.49350e-05% | -2.273304 | -1.669301 |   0.600%
123 | 12,300,000,000,000..… | +2.132368 |  50+3.67136e-04% | +1.736470 | -0.872676 |  35.800%
124 | 12,400,000,000,000..… | +2.097963 |  50+3.49681e-04% | -3.515371 | -0.512041 |  68.600%
125 | 12,500,000,000,000..… | -1.072347 |  50+2.79850e-05% | -1.810998 | -2.808376 |   7.400%
126 | 12,600,000,000,000..… | -0.065813 |  50+4.43790e-05% | -0.765069 | -0.904681 |  11.000%
127 | 12,700,000,000,000..… | +1.431765 |  50+3.24677e-04% | +1.373415 | -0.210696 |  77.600%
128 | 12,800,000,000,000..… | +2.451379 |  50+4.01718e-04% | -0.978048 | -0.060078 |  92.800%
129 | 12,900,000,000,000..… | +0.280007 |  50+1.21030e-04% | -0.423600 | -0.550152 |  82.600%
130 | 13,000,000,000,000..… | +1.041300 |  50+3.46309e-04% | -0.387613 | -0.358819 | 100.000%
131 | 13,100,000,000,000..… | +0.077621 |  50+1.65726e-04% | -0.756259 | -0.862568 |  97.800%
132 | 13,200,000,000,000..… | +3.116482 |  50+5.41306e-04% | +2.051098 | +1.046908 | 100.000%
133 | 13,300,000,000,000..… | +2.102643 |  50+3.67472e-04% | -0.758017 | -0.102019 |  54.600%
134 | 13,400,000,000,000..… | +0.991785 |  50+1.81149e-04% | +0.571892 | -0.506677 |  36.200%

Retained Anticipation: 50+8.98352e-05%
Settlement Adjusted Anticipation: 50+1.68802e-04%

Best excursion segment:
  idx         : 36
  bestTrueZ   : +4.027199
  meanTrueZ   : +2.529274
  endTrueZ    : +2.078805
  pctAbove50  : 100.0000%
  best ZHeads : +0.170251
  aAtTrueZ    : 50+6.63675e-04%
  end ZHeads  : +0.288014
  end a       : 50+3.74227e-04%

Best settlement segment:
  idx         : 36
  bestTrueZ   : +4.027199
  meanTrueZ   : +2.529274
  endTrueZ    : +2.078805
  pctAbove50  : 100.0000%
  best ZHeads : +0.170251
  aAtTrueZ    : 50+6.63675e-04%
  end ZHeads  : +0.288014
  end a       : 50+3.74227e-04%

Worst settlement segment:
  idx         : 28
  bestTrueZ   : -1.907726
  meanTrueZ   : -3.988874
  endTrueZ    : -4.131921
  pctAbove50  : 0.2000%
  best ZHeads : -1.912691
  aAtTrueZ    : 50+7.85000e-07%
  end ZHeads  : -3.202280
  end a       : 50-1.46989e-04%

File compute time: 11.20:42:21.8677148
