=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=10000000000

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+6.2e-05% (Z:+0.1244) | a: 50+2.4e-04% (Z:+0.4728) | aHeads: 50-3.3e-04% | aTails: 50+8.0e-04% | aSame: 50-3.2e-04% | aDiff: 50+7.9e-04% | [RATE] H/T: 50+3.0e-04%/ 50+1.7e-04% S/D: 50-3.2e-04%/ 50+7.9e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 03:23:19 | Z(3.00) in 08:13:12

segments              : 135
Edge Excursion Score  : +1.735120   // median(best TrueZ per segment)
Edge Settlement Score : -0.684845   // mean(end TrueZ per segment)
Edge Persistence Index: -0.346048   // settlement * fraction positive

avgBestTrueZ          : +1.774402
medianBestTrueZ       : +1.735120
avgEndTrueZ           : -0.684845
medianEndTrueZ        : -0.620220
avgMeanTrueZ          : -0.788632
avgPctAbove50         :  50.5294%

bestTrueZ >= 1.96     :  34.8148%
bestTrueZ >= 3.00     :   1.4815%
endTrueZ  >= 0.00     :  29.6296%
endTrueZ  >= 1.96     :   0.7407%
meanTrueZ >= 0.00     :   2.2222%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
124 | 12,400,000,000,000..… | +1.691420 |  50+9.20020e-04% | -0.163640 | -1.257484 |  37.400%
125 | 12,500,000,000,000..… | +1.739540 |  50+9.39590e-04% | -0.814560 | -1.049546 |  39.800%
126 | 12,600,000,000,000..… | +1.833480 |  50+9.55700e-04% | -1.905860 | -0.770438 |  51.400%
127 | 12,700,000,000,000..… | +2.272760 |  50+1.16029e-03% | -0.950720 | -0.733262 |  65.600%
128 | 12,800,000,000,000..… | +1.486720 |  50+1.25593e-03% | +0.032500 | -0.641901 |  54.000%
129 | 12,900,000,000,000..… | +1.775240 |  50+9.11540e-04% | -0.066940 | -0.657472 |  58.800%
130 | 13,000,000,000,000..… | +2.056440 |  50+1.03376e-03% | +0.362640 | -0.682311 |  65.800%
131 | 13,100,000,000,000..… | +2.041040 |  50+1.07524e-03% | -0.863920 | -0.327549 |  64.000%
132 | 13,200,000,000,000..… | +2.242240 |  50+1.12398e-03% | -0.871560 | -0.615135 |  74.000%
133 | 13,300,000,000,000..… | +0.920440 |  50+4.97790e-04% | -0.682640 | -1.080502 |  45.000%
134 | 13,400,000,000,000..… | +1.708160 |  50+9.54250e-04% | +0.084440 | -0.681490 |  68.000%

Retained Anticipation: 50+4.19552e-05%
Settlement Adjusted Anticipation: 50+1.20347e-05%

Best excursion segment:
  idx         : 35
  bestTrueZ   : +3.192860
  meanTrueZ   : +0.140673
  endTrueZ    : +0.538060
  pctAbove50  : 86.6000%
  best ZHeads : +0.342560
  aAtTrueZ    : 50+1.76771e-03%
  end ZHeads  : -0.664420
  end a       : 50+6.01240e-04%

Best settlement segment:
  idx         : 80
  bestTrueZ   : +3.011120
  meanTrueZ   : -0.505803
  endTrueZ    : +2.273940
  pctAbove50  : 54.6000%
  best ZHeads : +0.150500
  aAtTrueZ    : 50+1.58081e-03%
  end ZHeads  : +0.218800
  end a       : 50+1.24637e-03%

Worst settlement segment:
  idx         : 102
  bestTrueZ   : +1.701820
  meanTrueZ   : -1.145810
  endTrueZ    : -3.691100
  pctAbove50  : 32.8000%
  best ZHeads : +0.085560
  aAtTrueZ    : 50+8.93690e-04%
  end ZHeads  : -1.851480
  end a       : 50-9.19810e-04%

File compute time: 11.20:42:21.8677148
